time	V(n003)	V(n004)
0.000000000000000e+000	5.151944e-003	0.000000e+000
4.383935897400576e-007	5.131068e-003	2.754563e-003
8.767871794801151e-007	5.021801e-003	5.509006e-003
1.315180769220173e-006	4.824142e-003	8.263328e-003
1.753574358960230e-006	4.538091e-003	1.101753e-002
2.191967948700288e-006	4.163649e-003	1.377161e-002
2.630361538440345e-006	3.700814e-003	1.652557e-002
3.068755128180402e-006	3.149588e-003	1.927941e-002
6.006265347145694e-006	-2.749554e-003	3.772241e-002
1.166085873863545e-005	-2.285107e-002	7.316775e-002
1.950694132817894e-005	-6.723518e-002	1.221636e-001
2.927256632817894e-005	-1.460441e-001	1.827176e-001
3.903819132817894e-005	-2.483008e-001	2.426035e-001
4.880381632817894e-005	-3.718540e-001	3.015763e-001
5.856944132817895e-005	-5.132720e-001	3.594140e-001
6.833506632817894e-005	-6.693268e-001	4.158990e-001
7.810069132817894e-005	-8.369839e-001	4.708186e-001
8.786631632817893e-005	-1.013395e+000	5.239662e-001
9.763194132817893e-005	-1.195889e+000	5.751416e-001
1.073975663281789e-004	-1.381966e+000	6.241524e-001
1.171631913281789e-004	-1.569291e+000	6.708140e-001
1.269288163281789e-004	-1.755687e+000	7.149508e-001
1.366944413281789e-004	-1.939133e+000	7.563967e-001
1.464600663281789e-004	-2.117753e+000	7.949957e-001
1.562256913281789e-004	-2.289818e+000	8.306025e-001
1.659913163281790e-004	-2.453737e+000	8.630831e-001
1.757569413281790e-004	-2.608057e+000	8.923152e-001
1.855225663281790e-004	-2.751456e+000	9.181889e-001
1.952881913281790e-004	-2.882742e+000	9.406067e-001
2.050538163281790e-004	-3.000849e+000	9.594843e-001
2.148194413281790e-004	-3.104832e+000	9.747506e-001
2.245850663281790e-004	-3.193869e+000	9.863482e-001
2.343506913281790e-004	-3.267251e+000	9.942334e-001
2.441163163281790e-004	-3.324386e+000	9.983765e-001
2.538819413281790e-004	-3.364790e+000	9.987619e-001
2.636475663281790e-004	-3.388090e+000	9.953883e-001
2.734131913281790e-004	-3.394014e+000	9.882681e-001
2.831788163281790e-004	-3.382397e+000	9.774284e-001
2.929444413281790e-004	-3.353169e+000	9.629099e-001
3.027100663281790e-004	-3.306358e+000	9.447672e-001
3.124756913281791e-004	-3.242085e+000	9.230686e-001
3.222413163281791e-004	-3.160558e+000	8.978958e-001
3.320069413281791e-004	-3.062073e+000	8.693435e-001
3.417725663281791e-004	-2.947010e+000	8.375192e-001
3.515381913281791e-004	-2.815825e+000	8.025427e-001
3.613038163281791e-004	-2.669050e+000	7.645456e-001
3.710694413281791e-004	-2.507290e+000	7.236708e-001
3.808350663281791e-004	-2.331217e+000	6.800724e-001
3.906006913281791e-004	-2.141566e+000	6.339143e-001
4.003663163281791e-004	-1.939131e+000	5.853703e-001
4.101319413281791e-004	-1.724764e+000	5.346231e-001
4.198975663281791e-004	-1.499364e+000	4.818637e-001
4.296631913281792e-004	-1.263879e+000	4.272907e-001
4.394288163281792e-004	-1.019298e+000	3.711095e-001
4.491944413281792e-004	-7.666487e-001	3.135315e-001
4.589600663281792e-004	-5.069906e-001	2.547734e-001
4.687256913281792e-004	-2.414119e-001	1.950564e-001
4.784913163281792e-004	2.897585e-002	1.346053e-001
4.882569413281792e-004	3.030423e-001	7.364752e-002
5.077881913281792e-004	8.576236e-001	-4.886910e-002
5.273194413281792e-004	1.413092e+000	-1.706507e-001
5.468506913281793e-004	1.960206e+000	-2.898655e-001
5.663819413281793e-004	2.489875e+000	-4.047205e-001
